grade,subject,topic,subtopic,prerequisites
5,Mathematics,Place Value & Number Ordering,Read and write numbers up to 1 million,"Basic counting, Understanding digits 0-9"
5,Mathematics,Place Value & Number Ordering,Understand digit representation,"Basic counting, Understanding digits 0-9"
5,Mathematics,Place Value & Number Ordering,Order and compare numbers,"Basic counting, Understanding digits 0-9"
5,Mathematics,Place Value & Number Ordering,Negative numbers on number line,"Basic counting, Understanding digits 0-9"
5,Mathematics,Rounding & Estimation,"Round to nearest 10, 100, 1000","Place value understanding, Number ordering"
5,Mathematics,Rounding & Estimation,Round decimals to whole numbers,"Place value understanding, Number ordering"
5,Mathematics,Rounding & Estimation,Make reasonable estimates,"Place value understanding, Number ordering"
5,Mathematics,Fractions & Decimals,Decimal notation for tenths/hundredths,"Basic division, Place value"
5,Mathematics,Fractions & Decimals,Simple fractions,"Basic division, Place value"
5,Mathematics,Fractions & Decimals,Equivalence between fractions and decimals,"Basic division, Place value"
5,Mathematics,Fractions & Decimals,Find fractions of quantities,"Basic division, Place value"
5,Mathematics,Percentages & Ratios,Understand percentage as parts of 100,"Fractions, Decimals, Division"
5,Mathematics,Percentages & Ratios,Find simple percentages,"Fractions, Decimals, Division"
5,Mathematics,Percentages & Ratios,Basic ratio understanding,"Fractions, Decimals, Division"
5,Mathematics,Addition & Subtraction,Add/subtract multi-digit numbers,"Place value, Basic arithmetic facts"
5,Mathematics,Addition & Subtraction,Mental calculation strategies,"Place value, Basic arithmetic facts"
5,Mathematics,Addition & Subtraction,Add/subtract decimals,"Place value, Basic arithmetic facts"
5,Mathematics,Addition & Subtraction,Calculate time intervals,"Place value, Basic arithmetic facts"
5,Mathematics,Multiplication & Division,Know times tables 2-10,"Addition, Subtraction, Repeated addition"
5,Mathematics,Multiplication & Division,"Multiply/divide by 10, 100","Addition, Subtraction, Repeated addition"
5,Mathematics,Multiplication & Division,Multiply multi-digit numbers by single digit,"Addition, Subtraction, Repeated addition"
5,Mathematics,Multiplication & Division,Divide with remainders,"Addition, Subtraction, Repeated addition"
5,Mathematics,Order of Operations,BODMAS/PEMDAS introduction,"Basic multiplication, Basic division"
5,Mathematics,Order of Operations,Brackets in calculations,"Basic multiplication, Basic division"
5,Mathematics,Order of Operations,Correct sequence of operations,"Basic multiplication, Basic division"
5,Mathematics,2D Shapes & Properties,"Identify triangles (isosceles, equilateral, scalene)","Basic shape recognition, Understanding angles"
5,Mathematics,2D Shapes & Properties,Properties of polygons,"Basic shape recognition, Understanding angles"
